/home/ec2-user/dev/ugh/.venv/lib/python3.13/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Model: baseline | Params: 1,803,850 | K=4 | blocks/unit=-
----------------------------------------------------------------------
Ep 257 | loss 0.0166 | task 0.0166 | train 99.4% | test 84.2%
Ep 258 | loss 0.0155 | task 0.0155 | train 99.5% | test 84.1%
Ep 259 | loss 0.0168 | task 0.0168 | train 99.4% | test 84.1%
Ep 260 | loss 0.0140 | task 0.0140 | train 99.6% | test 84.2%
Ep 261 | loss 0.0151 | task 0.0151 | train 99.5% | test 84.0%
Ep 262 | loss 0.0131 | task 0.0131 | train 99.5% | test 84.0%
Ep 263 | loss 0.0148 | task 0.0148 | train 99.5% | test 84.1%
Ep 264 | loss 0.0147 | task 0.0147 | train 99.5% | test 84.3%
Ep 265 | loss 0.0143 | task 0.0143 | train 99.5% | test 84.1%
Ep 266 | loss 0.0143 | task 0.0143 | train 99.5% | test 84.2%
Ep 267 | loss 0.0136 | task 0.0136 | train 99.6% | test 84.2%
Ep 268 | loss 0.0120 | task 0.0120 | train 99.6% | test 84.1%
Ep 269 | loss 0.0122 | task 0.0122 | train 99.6% | test 84.0%
Ep 270 | loss 0.0147 | task 0.0147 | train 99.5% | test 84.2%
Ep 271 | loss 0.0121 | task 0.0121 | train 99.6% | test 84.0%
Ep 272 | loss 0.0123 | task 0.0123 | train 99.6% | test 84.1%
Ep 273 | loss 0.0117 | task 0.0117 | train 99.6% | test 84.2%
Ep 274 | loss 0.0126 | task 0.0126 | train 99.5% | test 84.2%
Ep 275 | loss 0.0124 | task 0.0124 | train 99.6% | test 84.2%
Ep 276 | loss 0.0143 | task 0.0143 | train 99.5% | test 84.2%
Ep 277 | loss 0.0116 | task 0.0116 | train 99.6% | test 84.3%
Ep 278 | loss 0.0121 | task 0.0121 | train 99.6% | test 84.2%
Ep 279 | loss 0.0109 | task 0.0109 | train 99.6% | test 84.3%
Ep 280 | loss 0.0113 | task 0.0113 | train 99.6% | test 84.2%
Ep 281 | loss 0.0114 | task 0.0114 | train 99.6% | test 84.3%
Ep 282 | loss 0.0112 | task 0.0112 | train 99.6% | test 84.2%
Ep 283 | loss 0.0105 | task 0.0105 | train 99.6% | test 84.4%
Ep 284 | loss 0.0121 | task 0.0121 | train 99.6% | test 84.3%
Ep 285 | loss 0.0109 | task 0.0109 | train 99.6% | test 84.3%
Ep 286 | loss 0.0112 | task 0.0112 | train 99.6% | test 84.2%
Ep 287 | loss 0.0110 | task 0.0110 | train 99.6% | test 84.2%
Ep 288 | loss 0.0108 | task 0.0108 | train 99.6% | test 84.3%
Ep 289 | loss 0.0105 | task 0.0105 | train 99.6% | test 84.3%
Ep 290 | loss 0.0110 | task 0.0110 | train 99.6% | test 84.3%
Ep 291 | loss 0.0110 | task 0.0110 | train 99.6% | test 84.2%
Ep 292 | loss 0.0114 | task 0.0114 | train 99.6% | test 84.2%
Ep 293 | loss 0.0110 | task 0.0110 | train 99.6% | test 84.3%
Ep 294 | loss 0.0101 | task 0.0101 | train 99.6% | test 84.2%
Ep 295 | loss 0.0100 | task 0.0100 | train 99.7% | test 84.3%
Ep 296 | loss 0.0102 | task 0.0102 | train 99.7% | test 84.3%
Ep 297 | loss 0.0110 | task 0.0110 | train 99.6% | test 84.3%
Ep 298 | loss 0.0108 | task 0.0108 | train 99.6% | test 84.3%
Ep 299 | loss 0.0111 | task 0.0111 | train 99.6% | test 84.3%
Ep 300 | loss 0.0097 | task 0.0097 | train 99.7% | test 84.3%
Saved checkpoint to base_dim192_K4_300ep.pt
