Loading ImageNet64 from HuggingFace...
Model: continuous | Params: 8,012,136 | K=4 | blocks/unit=4
----------------------------------------------------------------------
  step 2600/5005 | loss 2.9755 | acc 36.3% | 772s elapsed | eta 714s
  step 2700/5005 | loss 2.9762 | acc 36.3% | 808s elapsed | eta 690s
  step 2800/5005 | loss 2.9752 | acc 36.3% | 838s elapsed | eta 660s
  step 2900/5005 | loss 2.9742 | acc 36.4% | 861s elapsed | eta 625s
  step 3000/5005 | loss 2.9735 | acc 36.4% | 885s elapsed | eta 591s
  step 3100/5005 | loss 2.9733 | acc 36.4% | 922s elapsed | eta 566s
  step 3200/5005 | loss 2.9731 | acc 36.4% | 961s elapsed | eta 542s
  step 3300/5005 | loss 2.9730 | acc 36.4% | 992s elapsed | eta 512s
  step 3400/5005 | loss 2.9726 | acc 36.4% | 1016s elapsed | eta 480s
  step 3500/5005 | loss 2.9725 | acc 36.4% | 1039s elapsed | eta 447s
  step 3600/5005 | loss 2.9721 | acc 36.4% | 1064s elapsed | eta 415s
  step 3700/5005 | loss 2.9723 | acc 36.4% | 1100s elapsed | eta 388s
  step 3800/5005 | loss 2.9716 | acc 36.4% | 1139s elapsed | eta 361s
  step 3900/5005 | loss 2.9713 | acc 36.4% | 1163s elapsed | eta 329s
  step 4000/5005 | loss 2.9711 | acc 36.4% | 1185s elapsed | eta 298s
  step 4100/5005 | loss 2.9709 | acc 36.5% | 1209s elapsed | eta 267s
  step 4200/5005 | loss 2.9708 | acc 36.5% | 1232s elapsed | eta 236s
  step 4300/5005 | loss 2.9698 | acc 36.5% | 1267s elapsed | eta 208s
  step 4400/5005 | loss 2.9687 | acc 36.5% | 1305s elapsed | eta 180s
  step 4500/5005 | loss 2.9685 | acc 36.5% | 1335s elapsed | eta 150s
  step 4600/5005 | loss 2.9680 | acc 36.5% | 1357s elapsed | eta 119s
  step 4700/5005 | loss 2.9678 | acc 36.5% | 1380s elapsed | eta 90s
  step 4800/5005 | loss 2.9681 | acc 36.5% | 1401s elapsed | eta 60s
  step 4900/5005 | loss 2.9674 | acc 36.5% | 1434s elapsed | eta 31s
  step 5000/5005 | loss 2.9669 | acc 36.5% | 1471s elapsed | eta 1s
Ep   5 | loss 2.9668 | task 2.9668 | cons 0.0000 | train 36.5% | test 34.6% | 1506s
Checkpoint saved to models/in64_cont_4bpu_d384_K4_ep5.pt
  step 100/5005 | loss 2.7424 | acc 40.3% | 26s elapsed | eta 1265s
  step 200/5005 | loss 2.7604 | acc 39.9% | 50s elapsed | eta 1191s
  step 300/5005 | loss 2.7633 | acc 39.7% | 73s elapsed | eta 1142s
  step 400/5005 | loss 2.7649 | acc 39.8% | 112s elapsed | eta 1291s
  step 500/5005 | loss 2.7722 | acc 39.7% | 147s elapsed | eta 1326s
  step 600/5005 | loss 2.7738 | acc 39.6% | 175s elapsed | eta 1286s
  step 700/5005 | loss 2.7781 | acc 39.5% | 196s elapsed | eta 1207s
